# step param_0 param_1 param_2 param_3 param_4 param_5 param_6 param_7 param_8 param_9 param_10 param_11 param_12 param_13 param_14 param_15 param_16 param_17 param_18 param_19 param_20 param_21 param_22 param_23 param_24 param_25 loglike
0 1.595090e-01 2.294994e-02 6.986769e-01 1.052589e-01 9.999134e-01 2.848632e+00 -5.446140e-04 -1.252303e+00 -1.078683e-02 1.002839e+00 2.997093e+00 -1.136430e-04 2.001767e+02 5.471354e+01 1.291449e+02 9.952060e+00 5.116089e+01 9.833860e+00 5.025198e-01 4.998008e-01 5.104786e-01 1.000203e+00 1.001598e+00 4.956477e-01 5.024866e+00 -3.666872e-02 -8.453448e+03
1 1.593717e-01 2.293994e-02 6.995229e-01 1.074632e-01 9.996711e-01 2.847816e+00 -5.557856e-04 -1.250875e+00 8.438572e-04 1.006819e+00 2.999263e+00 -1.404755e-05 2.042180e+02 5.313654e+01 1.296639e+02 9.867004e+00 4.978312e+01 9.664514e+00 5.066328e-01 4.977679e-01 5.175894e-01 1.000571e+00 1.002458e+00 4.939418e-01 5.056638e+00 -1.479778e-02 -8.375504e+03
2 1.593717e-01 2.293994e-02 6.995229e-01 1.074632e-01 9.996711e-01 2.847816e+00 -5.557856e-04 -1.250875e+00 8.438572e-04 1.006819e+00 2.999263e+00 -1.404755e-05 2.042180e+02 5.313654e+01 1.296639e+02 9.867004e+00 4.978312e+01 9.664514e+00 5.066328e-01 4.977679e-01 5.175894e-01 1.000571e+00 1.002458e+00 4.939418e-01 5.056638e+00 -1.479778e-02 -8.375504e+03
3 1.593717e-01 2.293994e-02 6.995229e-01 1.074632e-01 9.996711e-01 2.847816e+00 -5.557856e-04 -1.250875e+00 8.438572e-04 1.006819e+00 2.999263e+00 -1.404755e-05 2.042180e+02 5.313654e+01 1.296639e+02 9.867004e+00 4.978312e+01 9.664514e+00 5.066328e-01 4.977679e-01 5.175894e-01 1.000571e+00 1.002458e+00 4.939418e-01 5.056638e+00 -1.479778e-02 -8.375504e+03
4 1.593717e-01 2.293994e-02 6.995229e-01 1.074632e-01 9.996711e-01 2.847816e+00 -5.557856e-04 -1.250875e+00 8.438572e-04 1.006819e+00 2.999263e+00 -1.404755e-05 2.042180e+02 5.313654e+01 1.296639e+02 9.867004e+00 4.978312e+01 9.664514e+00 5.066328e-01 4.977679e-01 5.175894e-01 1.000571e+00 1.002458e+00 4.939418e-01 5.056638e+00 -1.479778e-02 -8.375504e+03
5 1.593717e-01 2.293994e-02 6.995229e-01 1.074632e-01 9.996711e-01 2.847816e+00 -5.557856e-04 -1.250875e+00 8.438572e-04 1.006819e+00 2.999263e+00 -1.404755e-05 2.042180e+02 5.313654e+01 1.296639e+02 9.867004e+00 4.978312e+01 9.664514e+00 5.066328e-01 4.977679e-01 5.175894e-01 1.000571e+00 1.002458e+00 4.939418e-01 5.056638e+00 -1.479778e-02 -8.375504e+03
6 1.595348e-01 2.297489e-02 7.011820e-01 1.090688e-01 9.991501e-01 2.851678e+00 -1.299784e-04 -1.253823e+00 -1.303771e-03 1.006436e+00 2.993020e+00 -7.452830e-05 1.997542e+02 5.352595e+01 1.287587e+02 9.695281e+00 4.867978e+01 9.615405e+00 5.069564e-01 5.044090e-01 5.065211e-01 1.001069e+00 1.003089e+00 4.944721e-01 5.118888e+00 -3.784593e-02 -8.267591e+03
7 1.590736e-01 2.294274e-02 6.999425e-01 1.078638e-01 9.975054e-01 2.851855e+00 -2.956411e-04 -1.255650e+00 -1.656976e-03 1.004477e+00 2.989053e+00 -5.323721e-04 1.981751e+02 5.370022e+01 1.261033e+02 9.906966e+00 4.956014e+01 9.491122e+00 4.954966e-01 5.062277e-01 5.086731e-01 1.001117e+00 1.002341e+00 5.109054e-01 5.057092e+00 -5.853276e-02 -8.238678e+03
8 1.594119e-01 2.296008e-02 6.994256e-01 1.042181e-01 9.985557e-01 2.853198e+00 -2.741889e-04 -1.255286e+00 -1.206102e-02 1.008906e+00 2.985184e+00 -3.747953e-04 1.951625e+02 5.260645e+01 1.245218e+02 9.942808e+00 4.868563e+01 9.184707e+00 4.939099e-01 5.081349e-01 5.169767e-01 1.002149e+00 1.002476e+00 5.049253e-01 5.087163e+00 -9.804092e-02 -8.125827e+03
9 1.594058e-01 2.293989e-02 6.996185e-01 1.049163e-01 9.983423e-01 2.853848e+00 -2.419185e-04 -1.258867e+00 -2.102162e-02 1.006274e+00 2.988634e+00 3.672534e-04 1.966921e+02 5.254082e+01 1.219326e+02 9.962841e+00 4.785436e+01 9.470710e+00 4.888196e-01 5.066944e-01 5.176655e-01 1.002311e+00 1.003645e+00 5.219159e-01 5.023421e+00 -1.212825e-01 -8.101553e+03
