performed/Chainsize: 0/0  1/1  min_size: 0    Multiplicity [Really]: 0[0]  1[1]  
performed/Chainsize: 1/1  1/1  min_size: 1    Multiplicity [Really]: 1[1]  1[1]  
performed/Chainsize: 2/2  1/1  min_size: 1    Multiplicity [Really]: 1[1]  1[1]  
performed/Chainsize: 2/2  2/2  min_size: 2    Multiplicity [Really]: 1[1]  1[1]  
performed/Chainsize: 3/3  2/2  min_size: 2    Multiplicity [Really]: 1[1]  1[1]  
performed/Chainsize: 3/3  3/3  min_size: 3    Multiplicity [Really]: 1[1]  1[1]  
performed/Chainsize: 4/3  3/3  min_size: 3    Multiplicity [Really]: 2[2]  1[1]  
performed/Chainsize: 5/3  3/3  min_size: 3    Multiplicity [Really]: 3[3]  1[1]  
performed/Chainsize: 5/3  4/4  min_size: 3    Multiplicity [Really]: 3[3]  1[1]  
performed/Chainsize: 5/3  5/5  min_size: 3    Multiplicity [Really]: 3[3]  1[1]  
performed/Chainsize: 6/4  5/5  min_size: 4    Multiplicity [Really]: 1[1]  1[1]  
performed/Chainsize: 6/4  6/6  min_size: 4    Multiplicity [Really]: 1[1]  1[1]  
performed/Chainsize: 6/4  7/6  min_size: 4    Multiplicity [Really]: 1[1]  2[2]  
performed/Chainsize: 7/4  7/6  min_size: 4    Multiplicity [Really]: 2[2]  2[2]  
performed/Chainsize: 8/4  7/6  min_size: 4    Multiplicity [Really]: 3[3]  2[2]  
performed/Chainsize: 8/4  8/7  min_size: 4    Multiplicity [Really]: 3[3]  1[1]  
performed/Chainsize: 9/5  8/7  min_size: 5    Multiplicity [Really]: 1[1]  1[1]  
performed/Chainsize: 9/5  9/8  min_size: 5    Multiplicity [Really]: 1[1]  1[1]  
performed/Chainsize: 9/5  10/8  min_size: 5    Multiplicity [Really]: 1[1]  2[2]  
performed/Chainsize: 9/5  11/8  min_size: 5    Multiplicity [Really]: 1[1]  3[3]  
performed/Chainsize: 10/6  11/8  min_size: 6    Multiplicity [Really]: 1[1]  3[3]  
performed/Chainsize: 11/6  11/8  min_size: 6    Multiplicity [Really]: 2[2]  3[3]  
performed/Chainsize: 12/7  11/8  min_size: 7    Multiplicity [Really]: 1[1]  3[3]  
performed/Chainsize: 12/7  12/8  min_size: 7    Multiplicity [Really]: 1[1]  4[4]  
performed/Chainsize: 12/7  13/8  min_size: 7    Multiplicity [Really]: 1[1]  5[5]  
performed/Chainsize: 12/7  14/8  min_size: 7    Multiplicity [Really]: 1[1]  6[6]  
performed/Chainsize: 13/7  14/8  min_size: 7    Multiplicity [Really]: 2[2]  6[6]  
performed/Chainsize: 13/7  15/9  min_size: 7    Multiplicity [Really]: 2[2]  1[1]  
performed/Chainsize: 14/8  15/9  min_size: 8    Multiplicity [Really]: 1[1]  1[1]  
performed/Chainsize: 15/9  15/9  min_size: 9    Multiplicity [Really]: 1[1]  1[1]  
performed/Chainsize: 15/9  16/9  min_size: 9    Multiplicity [Really]: 1[1]  2[2]  
performed/Chainsize: 15/9  17/9  min_size: 9    Multiplicity [Really]: 1[1]  3[3]  
performed/Chainsize: 15/9  18/10  min_size: 9    Multiplicity [Really]: 1[1]  1[1]  
performed/Chainsize: 16/10  18/10  min_size: 10    Multiplicity [Really]: 1[1]  1[1]  
performed/Chainsize: 17/11  18/10  min_size: 10    Multiplicity [Really]: 1[1]  1[1]  
performed/Chainsize: 18/12  18/10  min_size: 10    Multiplicity [Really]: 1[1]  1[1]  
performed/Chainsize: 18/12  19/11  min_size: 11    Multiplicity [Really]: 1[1]  1[1]  
performed/Chainsize: 18/12  20/11  min_size: 11    Multiplicity [Really]: 1[1]  2[2]  
performed/Chainsize: 18/12  21/11  min_size: 11    Multiplicity [Really]: 1[1]  3[3]  
performed/Chainsize: 19/12  21/11  min_size: 11    Multiplicity [Really]: 2[2]  3[3]  
performed/Chainsize: 20/12  21/11  min_size: 11    Multiplicity [Really]: 3[3]  3[3]  
performed/Chainsize: 21/13  21/11  min_size: 11    Multiplicity [Really]: 1[1]  3[3]  
