[Rank 5] Proposals: 500, Emulator: 0, Time: 2534.70 s
[Rank 5] Proposals: 1000, Emulator: 321, Time: 5166.65 s
[Rank 5] Proposals: 1500, Emulator: 767, Time: 7588.43 s
[Rank 5] Proposals: 2000, Emulator: 1230, Time: 9619.36 s
[Rank 5] Proposals: 2500, Emulator: 1680, Time: 11695.36 s
[Rank 5] Proposals: 3000, Emulator: 2104, Time: 13797.51 s
[Rank 5] Proposals: 3500, Emulator: 2533, Time: 15892.76 s
[Rank 5] Proposals: 4000, Emulator: 2985, Time: 17965.84 s
[Rank 5] Proposals: 4500, Emulator: 3440, Time: 20000.39 s
[Rank 5] Proposals: 5000, Emulator: 3851, Time: 22085.71 s
[Rank 5] Proposals: 5500, Emulator: 4254, Time: 24025.73 s
[Rank 5] Proposals: 6000, Emulator: 4693, Time: 25684.48 s
[Rank 5] Proposals: 6500, Emulator: 5176, Time: 27394.57 s
[Rank 5] Proposals: 7000, Emulator: 5671, Time: 29034.54 s
